telemetry.time,deviceId,telemetry.co2
2022-11-24T15:03:25.0000000,DA00110044,771
2022-11-24T15:05:46.0000000,DA00110044,798
2022-11-24T15:04:40.0000000,DA00110044,755
2022-11-24T15:14:31.0000000,DA00110042,1404
2022-11-24T15:02:18.0000000,DA00110044,783
2022-11-24T15:01:04.0000000,DA00110044,801
2022-11-24T15:11:32.0000000,DA00110043,741
2022-11-24T15:12:48.0000000,DA00110043,714
2022-11-24T15:10:27.0000000,DA00110043,722
2022-11-24T15:09:08.0000000,DA00110043,717
2022-11-24T15:08:03.0000000,DA00110043,719
2022-11-24T15:06:45.0000000,DA00110043,733
2022-11-24T15:00:45.0000000,DA00110043,726
2022-11-24T15:14:37.0000000,DA00110038,1095
2022-11-24T15:13:25.0000000,DA00110042,1424
2022-11-24T15:09:51.0000000,DA00110042,1396
2022-11-24T15:06:17.0000000,DA00110042,1437
2022-11-24T15:12:11.0000000,DA00110042,1416
2022-11-24T15:10:56.0000000,DA00110042,1428
2022-11-24T15:08:37.0000000,DA00110042,1425
2022-11-24T15:07:31.0000000,DA00110042,1445
2022-11-24T15:11:05.0000000,DA00110041,809
2022-11-24T15:12:22.0000000,DA00110041,795
2022-11-24T15:05:01.0000000,DA00110041,831
2022-11-24T15:06:17.0000000,DA00110041,810
2022-11-24T15:08:39.0000000,DA00110041,810
2022-11-24T15:07:34.0000000,DA00110041,810
2022-11-24T15:09:58.0000000,DA00110041,820
2022-11-24T15:05:02.0000000,DA00110042,1445
2022-11-24T15:08:42.0000000,DA00110040,1140
2022-11-24T15:13:37.0000000,DA00110036,1117
2022-11-24T15:01:26.0000000,DA00110040,1163
2022-11-24T15:00:21.0000000,DA00110040,1164
2022-11-24T15:07:24.0000000,DA00110040,1177
2022-11-24T15:13:30.0000000,DA00110038,1078
2022-11-24T15:12:16.0000000,DA00110038,1099
2022-11-24T15:11:11.0000000,DA00110038,1136
2022-11-24T15:08:42.0000000,DA00110038,1155
2022-11-24T15:09:56.0000000,DA00110038,1128
2022-11-24T15:09:22.0000000,DA00110049,808
2022-11-24T15:07:36.0000000,DA00110038,1171
2022-11-24T15:06:22.0000000,DA00110038,1118
2022-11-24T15:04:00.0000000,DA00110038,1118
2022-11-24T15:05:17.0000000,DA00110038,1109
2022-11-24T15:01:40.0000000,DA00110038,1140
2022-11-24T15:00:26.0000000,DA00110038,1157
2022-11-24T15:02:47.0000000,DA00110038,1101
2022-11-24T15:14:25.0000000,DA00110033,1002
2022-11-24T15:11:17.0000000,DA00110036,1111
2022-11-24T15:12:32.0000000,DA00110036,1096
2022-11-24T15:05:24.0000000,DA00110036,1128
2022-11-24T15:04:19.0000000,DA00110036,1119
2022-11-24T15:03:05.0000000,DA00110036,1110
2022-11-24T15:13:20.0000000,DA00110033,1006
2022-11-24T15:12:06.0000000,DA00110033,1001
2022-11-24T15:00:45.0000000,DA00110036,1092
2022-11-24T15:01:59.0000000,DA00110036,1113
2022-11-24T15:10:59.0000000,DA00110033,1005
2022-11-24T15:09:45.0000000,DA00110033,1028
2022-11-24T15:08:30.0000000,DA00110033,980
2022-11-24T15:07:25.0000000,DA00110033,954
2022-11-24T15:06:11.0000000,DA00110033,966
2022-11-24T15:05:05.0000000,DA00110033,932
2022-11-24T15:03:51.0000000,DA00110033,974
2022-11-24T15:02:45.0000000,DA00110033,959
2022-11-24T15:01:30.0000000,DA00110033,937
2022-11-24T15:13:44.0000000,DA00110032,1147
2022-11-24T15:00:16.0000000,DA00110033,981
2022-11-24T15:03:36.0000000,DA00130001,697
2022-11-24T15:11:24.0000000,DA00110032,1149
2022-11-24T15:12:29.0000000,DA00110032,1138
2022-11-24T15:10:09.0000000,DA00110032,1134
2022-11-24T15:09:04.0000000,DA00110032,1144
2022-11-24T15:06:31.0000000,DA00110032,1130
2022-11-24T15:07:50.0000000,DA00110032,1141
2022-11-24T15:05:26.0000000,DA00110032,1157
2022-11-24T15:03:05.0000000,DA00110032,1152
2022-11-24T15:01:51.0000000,DA00110032,1150
2022-11-24T15:04:10.0000000,DA00110032,1182
2022-11-24T15:00:36.0000000,DA00110032,1141
2022-11-24T15:13:53.0000000,DA00130004,1066
2022-11-24T15:06:34.0000000,DA00130004,1109
2022-11-24T15:07:55.0000000,DA00130004,1061
2022-11-24T15:04:02.0000000,DA00130004,1060
2022-11-24T15:05:24.0000000,DA00130004,1074
2022-11-24T15:01:38.0000000,DA00130004,1074
2022-11-24T15:00:17.0000000,DA00130004,1070
2022-11-24T15:02:54.0000000,DA00130004,1079
2022-11-24T15:04:16.0000000,DA00130003,1110
2022-11-24T15:10:14.0000000,DA00130003,1084
2022-11-24T15:00:32.0000000,DA00130003,1104
2022-11-24T15:01:51.0000000,DA00130003,1184
2022-11-24T15:02:58.0000000,DA00130003,1137
2022-11-24T14:58:36.0000000,AMNO-03,1127
2022-11-24T14:58:46.0000000,AMNO-02,1069
2022-11-24T14:57:19.0000000,AMNO-03,1137
2022-11-24T14:56:03.0000000,AMNO-03,1106
2022-11-24T14:54:52.0000000,AMNO-03,1092
2022-11-24T14:53:39.0000000,AMNO-03,1093
2022-11-24T14:51:11.0000000,AMNO-03,1103
2022-11-24T14:52:23.0000000,AMNO-03,1093
2022-11-24T14:49:58.0000000,AMNO-03,1091
2022-11-24T14:48:46.0000000,AMNO-03,1112
2022-11-24T14:47:33.0000000,AMNO-03,1109
2022-11-24T14:46:21.0000000,AMNO-03,1092
2022-11-24T14:57:34.0000000,AMNO-02,1036
2022-11-24T14:56:22.0000000,AMNO-02,1031
2022-11-24T14:55:06.0000000,AMNO-02,1039
2022-11-24T14:53:54.0000000,AMNO-02,1045
2022-11-24T14:52:42.0000000,AMNO-02,1038
2022-11-24T14:51:28.0000000,AMNO-02,1065
2022-11-24T14:50:08.0000000,AMNO-02,1048
