Timestamp;Entity Name;in;out
2021-08-05 00:00:00;dtu-lyn-boghandel;0;0
2021-08-05 00:00:00;dtu-lyn-indgang;0;0
2021-08-05 00:30:00;dtu-lyn-boghandel;0;0
2021-08-05 00:30:00;dtu-lyn-indgang;1;3
2021-08-05 01:00:00;dtu-lyn-boghandel;0;0
2021-08-05 01:00:00;dtu-lyn-indgang;0;0
2021-08-05 01:30:00;dtu-lyn-boghandel;0;0
2021-08-05 01:30:00;dtu-lyn-indgang;0;0
2021-08-05 02:00:00;dtu-lyn-boghandel;0;0
2021-08-05 02:00:00;dtu-lyn-indgang;0;2
2021-08-05 02:30:00;dtu-lyn-boghandel;0;0
2021-08-05 02:30:00;dtu-lyn-indgang;0;0
2021-08-05 03:00:00;dtu-lyn-boghandel;0;0
2021-08-05 03:00:00;dtu-lyn-indgang;0;0
2021-08-05 03:30:00;dtu-lyn-boghandel;1;1
2021-08-05 03:30:00;dtu-lyn-indgang;0;1
2021-08-05 04:00:00;dtu-lyn-boghandel;2;2
2021-08-05 04:00:00;dtu-lyn-indgang;0;0
2021-08-05 04:30:00;dtu-lyn-boghandel;0;0
2021-08-05 04:30:00;dtu-lyn-indgang;3;4
2021-08-05 05:00:00;dtu-lyn-boghandel;0;0
2021-08-05 05:00:00;dtu-lyn-indgang;0;0
2021-08-05 05:30:00;dtu-lyn-boghandel;0;0
2021-08-05 05:30:00;dtu-lyn-indgang;0;0
2021-08-05 06:00:00;dtu-lyn-boghandel;0;0
2021-08-05 06:00:00;dtu-lyn-indgang;0;0
2021-08-05 06:30:00;dtu-lyn-boghandel;0;0
2021-08-05 06:30:00;dtu-lyn-indgang;2;0
2021-08-05 07:00:00;dtu-lyn-boghandel;0;0
2021-08-05 07:00:00;dtu-lyn-indgang;6;1
2021-08-05 07:30:00;dtu-lyn-boghandel;0;0
2021-08-05 07:30:00;dtu-lyn-indgang;3;1
2021-08-05 08:00:00;dtu-lyn-boghandel;0;0
2021-08-05 08:00:00;dtu-lyn-indgang;8;4
2021-08-05 08:30:00;dtu-lyn-boghandel;0;0
2021-08-05 08:30:00;dtu-lyn-indgang;6;3
2021-08-05 09:00:00;dtu-lyn-boghandel;0;0
2021-08-05 09:00:00;dtu-lyn-indgang;23;4
2021-08-05 09:30:00;dtu-lyn-boghandel;0;0
2021-08-05 09:30:00;dtu-lyn-indgang;17;7
2021-08-05 10:00:00;dtu-lyn-boghandel;1;1
2021-08-05 10:00:00;dtu-lyn-indgang;35;13
2021-08-05 10:30:00;dtu-lyn-boghandel;3;4
2021-08-05 10:30:00;dtu-lyn-indgang;18;12
